,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,12132,16478,28611,2135,2102,4237,0,0,0,0.026309740654002944,0.036293787743768305,0.0312628836756425
1,Venda Nova,Carreira,583.47,21913,30281,52195,2135,2102,4237,0,0,0,0.04751851717011039,0.06669465034334612,0.05703190681611971
2,Carreira,Baguim,786.02,32591,41244,73836,2135,2102,4237,0,0,0,0.07067318227025099,0.0908409987423743,0.08067855168833057
3,Baguim,Campainha,751.7,40820,47201,88022,2135,2103,4238,0,0,0,0.0885174139345754,0.10391093705683246,0.09615605931591249
4,Campainha,Rio Tinto,859.99,54883,59358,114242,2135,2103,4238,0,0,0,0.11901286199027317,0.13067335338419786,0.12479908506753218
5,Rio Tinto,Levada,452.83,62578,68953,131531,2136,2104,4240,0,0,0,0.13563439243670883,0.15172475915504785,0.1436188574309035
6,Levada,Nau Vitória,1111.62,80468,86032,166500,2136,2105,4241,0,0,0,0.17440974572582607,0.18921527530634796,0.18175839929031523
7,Nau Vitória,Nasoni,499.02,84370,88275,172646,2136,2106,4242,0,0,0,0.1828671584988168,0.19405744352266907,0.18842273140316212
8,Nasoni,Contumil,650.0,87090,89986,177076,2137,2108,4245,0,0,0,0.18867451204760313,0.1976296036140352,0.19312146917882544
9,Contumil,Estádio do Dragão,619.19,100919,105194,206114,2138,2108,4246,0,0,0,0.21853233377651338,0.2310291725148265,0.22473660510490812
10,Estádio do Dragão,Campanhã,1166.02,183375,186257,369633,4024,3871,7895,2061,2137,4198,0.13285090166204463,0.13634122196912277,0.13458703870983593
11,Campanhã,Heroismo,950.92,363776,354879,718655,4940,4829,9769,3565,3570,7135,0.18644103038390553,0.18402559414816289,0.18524039000404116
12,Heroismo,24 de Agosto,571.9,390430,381289,771719,4942,4831,9773,3565,3570,7135,0.20005762062498259,0.1976762830957148,0.19887392812830354
13,24 de Agosto,Bolhão,680.44,500155,462021,962177,4939,4829,9768,3569,3571,7140,0.25623577421416527,0.23955439107018195,0.2479450845616488
14,Bolhão,Trindade,451.8,599507,569197,1168705,4934,4828,9762,3571,3573,7144,0.3072267311792306,0.29508129857208376,0.3011890711097048
15,Trindade,Lapa,857.4300000000001,701177,798736,1499914,5220,5155,10375,3572,3575,7147,0.3482597507944538,0.3993523956822951,0.373721441962184
16,Lapa,Carolina Michaelis,460.97,691299,791509,1482809,5218,5157,10375,3573,3575,7148,0.3433848285128052,0.3956536682387029,0.36943668512648054
17,Carolina Michaelis,Casa da Música,627.48,651259,751438,1402697,5217,5156,10373,3569,3570,7139,0.32369014965138926,0.3758965735801096,0.34970922824278994
18,Casa da Música,Francos,871.87,596424,626214,1222639,5215,5153,10368,3567,3568,7135,0.29657294974462367,0.3134345917489955,0.30497612904169924
19,Francos,Ramalde,965.03,550310,574472,1124783,5217,5156,10373,3567,3568,7135,0.27358401177586134,0.2874429985516128,0.28049116515919886
20,Ramalde,Viso,621.15,523692,548440,1072132,5217,5157,10374,3566,3568,7134,0.260382821586174,0.27438800465652236,0.26736364754712244
21,Viso,Sete Bicas,743.81,497277,515366,1012643,5215,5159,10374,3562,3568,7130,0.24742441428572368,0.2577851740313932,0.2525910867151281
22,Sete Bicas,Sra da Hora,674.5,440548,463139,903688,5213,5157,10370,3561,3567,7128,0.21927249543966787,0.23174054913833017,0.22549002126575513
23,Sra da Hora,Vasco da Gama,824.48,140024,144443,284467,2674,2611,5285,0,0,0,0.24243180010843285,0.2561159486050785,0.2491923132067757
24,Vasco da Gama,Estádio do Mar,661.6,135941,138403,274345,2674,2612,5286,0,0,0,0.23536276403698508,0.24531323270852945,0.2402796433729809
25,Estádio do Mar,Pedro Hispano,786.97,130040,133952,263993,2673,2612,5285,0,0,0,0.2252299096774527,0.2374240985483923,0.23125663083750841
26,Pedro Hispano,Parque de Real,656.68,118223,123099,241323,2675,2615,5290,0,0,0,0.20461025927803725,0.2179374566044221,0.21119827837227095
